LCVP_Taxon,Common_Name
Fraxinus pennsylvanica Marshall ,green ash
Fraxinus profunda (Bush) Bush ,Pumpkin ash/ Red ash
Garcinia madruno (Kunth) Hammel ,Lemon Drop Mangosteen
Geniostoma rupestre J.R.Forst. & G.Forst. ,Boiboida
Ginkgo biloba L. ,Maidenhair tree
Gironniera subaequalis Planch. ,Abmingere
Gliricidia sepium (Jacq.) Walp. ,mother of cocoa
Grevillea robusta A.Cunn. ex R.Br. ,Silky oak
Guaiacum officinale L. ,Roughbark lignumvitae
Guaiacum sanctum L. ,lignum vitae
Guarea bullata Radlk. ,
Guarea glabra Vahl ,Alligatorwood
Guarea grandifolia DC. ,Cocora
Guarea guidonia (L.) Sleumer ,Muskwood
Guarea kunthiana A.Juss. ,
Guarea pterorhachis Harms ,
Guazuma ulmifolia Lam. ,West Indian elm
Gymnanthes lucida Sw. ,Crabwood
Gyrocarpus jatrophifolius Domin ,
Handroanthus chrysanthus (Jacq.) S.O.Grose ,Roble amarillo/ Yellow trumpet tree
Handroanthus impetiginosus (Mart. ex DC.) Mattos ,Pink trumpet tree
Heliocarpus donnellsmithii Rose ex Donn.Sm. ,
Heptapleurum actinophyllum (Endl.) Lowry & G.M.Plunkett ,Australian Umbrella Tree
Heptapleurum heptaphyllum (L.) Y.F.Deng ,
Hernandia didymantha Donn.Sm. ,
Hirtella triandra Sw. ,Pigeon berry
Holoptelea integrifolia Planch. ,Indian elm
Homalium racemosum Jacq. ,
Hymenaea courbaril L. ,West Indian Locust tree
Ilex opaca Aiton ,American holly
Ilex verticillata (L.) A.Gray ,Common winterberry
Ilex vomitoria Aiton ,yaupon holly
Inga coruscans Willd. ,
Inga laurina (Sw.) Willd. ,Guama
Inga pezizifera Benth. ,
Inga thibaudiana DC. ,guabito
Ipomoea wolcottiana Rose ,
Jacaranda mimosifolia D.Don ,Jacaranda
Juniperus chinensis L. ,Chinese Juniper
Juniperus virginiana L. ,Eastern Red cedar
Jupunba macradenia (Pittier) M.V.B.Soares & al. ,
Khaya senegalensis (Desv.) A.Juss. ,African mahogany
Krugiodendron ferreum (Vahl) Urb. ,Black ironwood
Lacistema aggregatum (P.J.Bergius) Rusby ,Tu'l-chow
Laetia procera (Poepp. & Endl.) Eichler ,
